,auc_roc,auc_pr,time
0,1.0,0.4451817591073764,5.293583631515503
1,1.0,0.44334774287580947,4.923671722412109
2,1.0,0.4419866511383409,4.889806032180786
3,0.9999967497367287,0.43603645533634083,5.225080490112305
4,1.0,0.440309249865456,4.886598587036133
5,1.0,0.43863382889133745,4.906609773635864
6,1.0,0.4429496989651472,5.092917203903198
7,0.9999862488861597,0.44790885168366823,4.578170299530029
8,1.0,0.44003000456800045,4.965105295181274
9,1.0,0.44862498053069816,4.513002395629883
10,1.0,0.443513016663735,4.750020265579224
11,1.0,0.44240879506832115,4.956228017807007
12,1.0,0.4382842607133645,4.859463453292847
13,0.9999999999999999,0.44225845928435137,5.075594663619995
14,1.0,0.446587682991191,4.7025065422058105
15,0.9999999999999999,0.44123532601895543,4.978074073791504
16,1.0,0.4431046376361202,5.0047407150268555
17,1.0,0.44041338907501676,4.797236680984497
18,1.0,0.4371630609265716,4.773500919342041
19,1.0,0.4359762955612976,4.701754331588745
20,1.0,0.433208219581622,5.0137779712677
21,1.0,0.44559579611965794,4.7181737422943115
22,0.9999994999594967,0.4422890830349366,4.639728307723999
23,1.0,0.44439683719807654,4.871374607086182
24,1.0,0.44010999854656135,4.768263339996338
