,auc_roc,auc_pr,time
0,0.9999999999999999,0.44739317977791937,2.6739442348480225
1,1.0,0.4484732347659357,2.5863518714904785
2,1.0,0.44326279625818704,2.4305336475372314
3,1.0,0.4489999210896578,2.3898415565490723
4,1.0,0.44801507080144476,2.499006509780884
5,1.0,0.4388443332325536,2.5394513607025146
6,1.0,0.4452155742238473,2.4048640727996826
7,1.0,0.4453312441173761,2.288806915283203
8,1.0,0.4403758564823503,2.3155784606933594
9,1.0,0.44183211469054756,2.4255526065826416
10,1.0,0.44290781672045215,2.489483118057251
11,1.0,0.44683893595013513,2.684441566467285
12,0.9999999999999999,0.4476381449707015,2.3675920963287354
13,1.0,0.4491219530211198,2.3506743907928467
14,1.0,0.4443309440478269,2.492938280105591
15,1.0,0.4386922156021971,2.41003155708313
16,1.0,0.4430303939979931,2.70513653755188
17,1.0,0.44322341864374176,2.430845260620117
18,1.0,0.4453524989300639,2.3356685638427734
19,1.0,0.4534113241545801,2.5170412063598633
20,1.0,0.4542558214911644,2.584503173828125
21,1.0,0.4438503911488511,2.5239322185516357
22,1.0,0.4503984020225685,2.459824562072754
23,1.0,0.44967582633774633,2.5000038146972656
24,1.0,0.44376270604652124,2.395569324493408
