,auc_roc,auc_pr,time
0,1.0,0.49252338288636954,1.337385654449463
1,1.0,0.49104890308217264,1.2319648265838623
2,1.0,0.49425449047644215,1.1171269416809082
3,0.9999994999594967,0.4903198924387588,1.510127305984497
4,1.0,0.49351270302606404,1.3366262912750244
5,1.0,0.4947522468420634,1.195723056793213
6,1.0,0.4937584764799049,1.2095351219177246
7,1.0,0.49301643178276794,1.1021606922149658
8,1.0,0.4917919671957675,1.3679161071777344
9,1.0,0.4935114597093798,1.207686185836792
10,1.0,0.49203973623054575,1.2273294925689697
11,1.0,0.49252486996541056,1.27799391746521
12,1.0,0.4925233833786495,1.1672818660736084
13,0.9999997499797484,0.4905753042033716,1.2502214908599854
14,1.0,0.488398816998224,1.4816417694091797
15,1.0,0.49203800587820207,1.2020108699798584
16,1.0,0.49105507132211595,1.3384804725646973
17,1.0,0.4925266057077892,1.395503044128418
18,1.0,0.4937587241586818,1.221376657485962
19,1.0,0.4930191629098383,1.148078441619873
20,1.0,0.4940062348146549,1.2854397296905518
21,1.0,0.49252486996541056,1.3472650051116943
22,1.0,0.493509969697387,1.207087755203247
23,1.0,0.4922837929794448,1.3367421627044678
24,0.999994374544338,0.48669734036069845,1.551609992980957
