,score,time
0,0.9833333333333333,0.08950591087341309
1,0.9333333333333333,0.08027172088623047
2,0.9333333333333333,0.10772466659545898
3,0.9833333333333333,0.07637405395507812
4,0.95,0.08165264129638672
5,0.95,0.07335090637207031
6,0.9333333333333333,0.08037257194519043
7,0.9833333333333333,0.07752418518066406
8,0.9833333333333333,0.07858657836914062
9,0.95,0.08455824851989746
10,0.9166666666666666,0.08566617965698242
11,0.8833333333333333,0.08769750595092773
12,0.9666666666666667,0.08233904838562012
13,1.0,0.07624316215515137
14,0.95,0.09057784080505371
15,0.9166666666666666,0.08348703384399414
16,0.9166666666666666,0.08766794204711914
17,0.95,0.07733464241027832
18,0.9666666666666667,0.07947468757629395
19,0.9166666666666666,0.07764244079589844
20,0.8166666666666667,0.08248233795166016
21,0.9166666666666666,0.08068275451660156
22,0.95,0.07532143592834473
23,0.9166666666666666,0.08101892471313477
24,0.9166666666666666,0.08227944374084473
